"Показник","Територіальний розріз","Категорія Розрізу","Розріз","Географічна ознака","Вид економічної діяльності","Кількість зайнятих працівників","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова лише для підприємства","Не застосовується","Поліграфічна діяльність, тиражування записаної інформації","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","5","6","6","2","1","1","1","","1"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Автономна Республіка Крим","За ступенем новизни продукції","Нова для ринку","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 50 осіб і більше.","Інформація відсутня.","","","","","","","","","","",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Виробництво харчових продуктів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","21","41","26","26","14","13","8","29","12"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова лише для підприємства","Не застосовується","Водопостачання; каналізація, поводження з відходами","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","1","7","2","1","6","3","2","5","3"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова лише для підприємства","Не застосовується","Постачання електроенергії, газу, пари та кондиційованого повітря","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","1","7","3","5","3","4","4","6","2"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Збирання, оброблення й видалення відходів; відновлення матеріалів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Автономна Республіка Крим","За ступенем новизни продукції","Нова лише для підприємства","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","1. Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях; дані за 2022-2024 роки наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Дані наведені по юридичних особах із середньою кількістю працівників 50 осіб і більше.","Інформація відсутня.","","","","","","","","","","",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова лише для підприємства","Не застосовується","Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","25","31","25","29","13","15","17","14","16"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Водопостачання; каналізація, поводження з відходами","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","1","7","2","1","6","3","2","5","4"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Виробництво одягу","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","4","11","7","3","4","4","3","8","3"
